Year,Month,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag6_sum_prod,lag9_sum_prod,lag12_sum_prod,Year,Month,Real vs USD,Yuan vs USD,International Corn Prices
2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,1,1.785,6.3172,272.84
2012,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,2,1.7168,6.2997,279.46
2012,3,18.480999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.481,18.481,18.481,2012,3,1.7953,6.3125,280.69
2012,4,18.480999999999998,18.480999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.962,36.962,36.962,2012,4,1.8522,6.3043,274.0
2012,5,18.480999999999998,18.480999999999998,18.480999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.443,55.443,55.443,2012,5,1.9809999999999999,6.3242,269.28
2012,6,18.480999999999998,18.480999999999998,18.480999999999998,18.480999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.924,73.924,73.924,2012,6,2.0482,6.3633,267.31
2012,7,0.0,18.480999999999998,18.480999999999998,18.480999999999998,18.480999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.924,73.924,73.924,2012,7,2.0296,6.3717,333.05
2012,8,0.0,0.0,18.480999999999998,18.480999999999998,18.480999999999998,18.480999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.924,73.924,73.924,2012,8,2.0279,6.3593,331.99
2012,9,0.0,0.0,0.0,18.480999999999998,18.480999999999998,18.480999999999998,18.480999999999998,0.0,0.0,0.0,0.0,0.0,0.0,55.443,73.924,73.924,2012,9,2.0269,6.32,320.85
2012,10,0.0,0.0,0.0,0.0,18.480999999999998,18.480999999999998,18.480999999999998,18.480999999999998,0.0,0.0,0.0,0.0,0.0,36.962,73.924,73.924,2012,10,2.0297,6.2627,321.24
2012,11,0.0,0.0,0.0,0.0,0.0,18.480999999999998,18.480999999999998,18.480999999999998,18.480999999999998,0.0,0.0,0.0,0.0,18.481,73.924,73.924,2012,11,2.0662,6.2338,321.64
2012,12,0.0,0.0,0.0,0.0,0.0,0.0,18.480999999999998,18.480999999999998,18.480999999999998,18.480999999999998,0.0,0.0,0.0,0.0,55.443,73.924,2012,12,2.0775,6.2328,308.65
2013,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.480999999999998,18.480999999999998,18.480999999999998,18.480999999999998,0.0,0.0,0.0,36.962,73.924,2013,1,2.0281,6.2215,303.13
2013,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.480999999999998,18.480999999999998,18.480999999999998,18.480999999999998,0.0,0.0,18.481,73.924,2013,2,1.9729,6.2323,302.74
2013,3,24.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.480999999999998,18.480999999999998,18.480999999999998,18.480999999999998,24.522,24.522,79.965,2013,3,1.9842,6.2154,309.04
2013,4,24.522,24.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.480999999999998,18.480999999999998,18.480999999999998,49.044,49.044,86.006,2013,4,2.0011,6.1861,279.91
2013,5,24.522,24.522,24.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.480999999999998,18.480999999999998,73.566,73.566,92.047,2013,5,2.0365,6.1416,295.54
2013,6,24.522,24.522,24.522,24.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.480999999999998,98.088,98.088,98.088,2013,6,2.1734,6.1342,298.41
2013,7,0.0,24.522,24.522,24.522,24.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.088,98.088,98.088,2013,7,2.2518,6.1343,279.51
2013,8,0.0,0.0,24.522,24.522,24.522,24.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.088,98.088,98.088,2013,8,2.3408,6.1213,238.74
2013,9,0.0,0.0,0.0,24.522,24.522,24.522,24.522,0.0,0.0,0.0,0.0,0.0,0.0,73.566,98.088,98.088,2013,9,2.2641,6.1198,207.41
2013,10,0.0,0.0,0.0,0.0,24.522,24.522,24.522,24.522,0.0,0.0,0.0,0.0,0.0,49.044,98.088,98.088,2013,10,2.1882,6.1032,201.73
2013,11,0.0,0.0,0.0,0.0,0.0,24.522,24.522,24.522,24.522,0.0,0.0,0.0,0.0,24.522,98.088,98.088,2013,11,2.2959,6.0929,199.13
2013,12,0.0,0.0,0.0,0.0,0.0,0.0,24.522,24.522,24.522,24.522,0.0,0.0,0.0,0.0,73.566,98.088,2013,12,2.3471,6.0738,197.39
2014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.522,24.522,24.522,24.522,0.0,0.0,0.0,49.044,98.088,2014,1,2.3858,6.0509,198.06
2014,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.522,24.522,24.522,24.522,0.0,0.0,24.522,98.088,2014,2,2.3792,6.0816,209.32
2014,3,100.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.522,24.522,24.522,24.522,100.325,100.325,173.891,2014,3,2.3251,6.1729,222.33
2014,4,100.325,100.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.522,24.522,24.522,200.65,200.65,249.694,2014,4,2.2325,6.2246,222.36
2014,5,100.325,100.325,100.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.522,24.522,300.975,300.975,325.497,2014,5,2.2195,6.2379999999999995,217.3
2014,6,100.325,100.325,100.325,100.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.522,401.3,401.3,401.3,2014,6,2.2359999999999998,6.2306,202.39
2014,7,0.0,100.325,100.325,100.325,100.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.3,401.3,401.3,2014,7,2.2242,6.1984,182.73
2014,8,0.0,0.0,100.325,100.325,100.325,100.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.3,401.3,401.3,2014,8,2.2685,6.1541,176.42
2014,9,0.0,0.0,0.0,100.325,100.325,100.325,100.325,0.0,0.0,0.0,0.0,0.0,0.0,300.975,401.3,401.3,2014,9,2.3379,6.1382,163.06
2014,10,0.0,0.0,0.0,0.0,100.325,100.325,100.325,100.325,0.0,0.0,0.0,0.0,0.0,200.65,401.3,401.3,2014,10,2.4495,6.1251,163.12
2014,11,0.0,0.0,0.0,0.0,0.0,100.325,100.325,100.325,100.325,0.0,0.0,0.0,0.0,100.325,401.3,401.3,2014,11,2.5527,6.1249,178.74
2014,12,0.0,0.0,0.0,0.0,0.0,0.0,100.325,100.325,100.325,100.325,0.0,0.0,0.0,0.0,300.975,401.3,2014,12,2.6419,6.1886,178.73
2015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.325,100.325,100.325,100.325,0.0,0.0,0.0,200.65,401.3,2015,1,2.6346,6.2181,174.71
2015,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.325,100.325,100.325,100.325,0.0,0.0,100.325,401.3,2015,2,2.8169999999999997,6.2518,173.7
2015,3,37.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.325,100.325,100.325,100.325,37.847,37.847,338.822,2015,3,3.1414,6.2386,174.23
2015,4,37.847,37.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.325,100.325,100.325,75.694,75.694,276.344,2015,4,3.0421,6.2010000000000005,172.05
2015,5,37.847,37.847,37.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.325,100.325,113.541,113.541,213.866,2015,5,3.0562,6.2035,166.29
2015,6,37.847,37.847,37.847,37.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.325,151.388,151.388,151.388,2015,6,3.1117,6.2052,166.72
2015,7,0.0,37.847,37.847,37.847,37.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.388,151.388,151.388,2015,7,3.2288,6.2085,179.6
2015,8,0.0,0.0,37.847,37.847,37.847,37.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.388,151.388,151.388,2015,8,3.5154,6.3383,162.59
2015,9,0.0,0.0,0.0,37.847,37.847,37.847,37.847,0.0,0.0,0.0,0.0,0.0,0.0,113.541,151.388,151.388,2015,9,3.9032,6.3676,165.62
2015,10,0.0,0.0,0.0,0.0,37.847,37.847,37.847,37.847,0.0,0.0,0.0,0.0,0.0,75.694,151.388,151.388,2015,10,3.8752,6.3505,171.39
2015,11,0.0,0.0,0.0,0.0,0.0,37.847,37.847,37.847,37.847,0.0,0.0,0.0,0.0,37.847,151.388,151.388,2015,11,3.7858,6.364,166.16
2015,12,0.0,0.0,0.0,0.0,0.0,0.0,37.847,37.847,37.847,37.847,0.0,0.0,0.0,0.0,113.541,151.388,2015,12,3.8808,6.4491,163.95
2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.847,37.847,37.847,37.847,0.0,0.0,0.0,75.694,151.388,2016,1,4.0556,6.5726,161.03
2016,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.847,37.847,37.847,37.847,0.0,0.0,37.847,151.388,2016,2,3.9644,6.5501,159.68
2016,3,40.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.847,37.847,37.847,37.847,40.958,40.958,154.499,2016,3,3.698,6.5027,159.14
2016,4,40.958,40.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.847,37.847,37.847,81.916,81.916,157.61,2016,4,3.5634,6.4754,164.41
2016,5,40.958,40.958,40.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.847,37.847,122.874,122.874,160.721,2016,5,3.5403,6.5259,168.96
2016,6,40.958,40.958,40.958,40.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.847,163.832,163.832,163.832,2016,6,3.4234,6.5892,179.87
2016,7,0.0,40.958,40.958,40.958,40.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.832,163.832,163.832,2016,7,3.2781,6.6771,161.76
2016,8,0.0,0.0,40.958,40.958,40.958,40.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.832,163.832,163.832,2016,8,3.2086,6.6466,150.15
2016,9,0.0,0.0,0.0,40.958,40.958,40.958,40.958,0.0,0.0,0.0,0.0,0.0,0.0,122.874,163.832,163.832,2016,9,3.2532,6.6702,148.43
2016,10,0.0,0.0,0.0,0.0,40.958,40.958,40.958,40.958,0.0,0.0,0.0,0.0,0.0,81.916,163.832,163.832,2016,10,3.1854,6.7303,152.26
2016,11,0.0,0.0,0.0,0.0,0.0,40.958,40.958,40.958,40.958,0.0,0.0,0.0,0.0,40.958,163.832,163.832,2016,11,3.3369,6.8402,151.8
2016,12,0.0,0.0,0.0,0.0,0.0,0.0,40.958,40.958,40.958,40.958,0.0,0.0,0.0,0.0,122.874,163.832,2016,12,3.3539999999999996,6.9198,152.45
2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.958,40.958,40.958,40.958,0.0,0.0,0.0,81.916,163.832,2017,1,3.1901,6.8907,159.99
2017,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.958,40.958,40.958,40.958,0.0,0.0,40.958,163.832,2017,2,3.1057,6.8694,162.86
