Ano,Mes,Argentina_Production
2015,1,0.0
2015,2,0.0
2015,3,4864.0
2015,4,31616.0
2015,5,21888.0
2015,6,1824.0
2015,7,608.0
2015,8,0.0
2015,9,0.0
2015,10,0.0
2015,11,0.0
2015,12,0.0
2016,1,0.0
2016,2,0.0
2016,3,3920.0000000000005
2016,4,9520.000000000002
2016,5,33040.00000000001
2016,6,7279.999999999993
2016,7,1680.0
2016,8,560.0
2016,9,0.0
2016,10,0.0
2016,11,0.0
2016,12,0.0
2017,1,0.0
2017,2,0.0
2017,3,1623.0
2017,4,16771.0
2017,5,27050.000000000007
2017,6,7573.999999999993
2017,7,541.0
2017,8,0.0
2017,9,541.0
2017,10,0.0
2017,11,0.0
2017,12,0.0
2018,1,0.0
2018,2,0.0
2018,3,4212.0
2018,4,12285.0
2018,5,13689.000000000004
2018,6,4562.999999999996
2018,7,351.0
2018,8,0.0
2018,9,0.0
2018,10,0.0
2018,11,0.0
2018,12,0.0
2019,1,0.0
2019,2,0.0
2019,3,0.0
2019,4,0.0
2019,5,0.0
2019,6,0.0
2019,7,0.0
2019,8,0.0
2019,9,0.0
2019,10,0.0
2019,11,0.0
2019,12,0.0
